ISOPleasant,ISOPleasant,row_count
mean,std,
0.3077930693069307,0.39675906221721663,101
0.37647708333333335,0.2845950735524965,96
-0.21261182795698924,0.2672817853752129,93
0.22231935483870965,0.30058804622666185,93
0.2768758241758242,0.37237157557730466,91
0.7091505882352941,0.21401367536607907,85
-0.0430175,0.24451119659331283,80
0.09480810810810811,0.28452534507166943,74
0.5550326086956522,0.2257045798327715,46
0.09269705882352941,0.3013952860877818,34
0.42103125,0.2669012508431028,32
0.510359375,0.23561403767174796,32
0.42207333333333336,0.24538484472963787,30
0.40145714285714285,0.33449975079276717,28
0.510624,0.31665896255540704,25
0.424264705882353,0.3365188960912457,17
0.4480642857142857,0.2657435131479596,14
0.68286,0.23137462695810013,5
0.48889999999999995,0.45477077192801213,5
0.158475,0.38364900082410397,4
0.49687499999999996,0.14952099908262603,4
0.5589333333333334,0.34222713704984487,3
0.09346666666666668,0.4505641500755839,3
0.18689999999999998,0.23501282943703308,3
0.7011666666666666,0.27556241277310184,3
0.4167,0.6248770359038649,3
0.6625,0.21686730966192208,3
0.6136666666666667,0.08882884291339911,3
0.56695,0.1982020307665892,2
0.31695,0.6552758541255735,2
0.1187,0.22853691167949217,2
0.0,0.25003295782756324,2
0.0884,0.5214205404469602,2
-0.23485,1.0820855072497737,2
0.7803,0.0,2
0.5088999999999999,0.28029712806234747,2
-0.125,0.6768426109517633,2
0.35355000000000003,0.39647477221129723,2
0.6919500000000001,0.12494576823566289,2
0.5669500000000001,0.30172246353229987,2
0.22854999999999998,0.6767719002736446,2
0.6187499999999999,0.08209509729575819,2
-0.39015,0.1553513598266845,2
0.06695,0.0946815980008787,2
0.008899999999999998,0.1339260243567321,2
0.5366,0.05176021638285535,2
0.76515,0.08209509729575823,2
0.0669,0.2411234123846127,2
0.21339999999999998,0.2159504109743716,2
0.0,0.292883628767468,2
0.1768,0.3535533905932738,2
0.47855000000000003,0.21969807691466037,2
0.26515,0.6856814457165952,2
-0.125,0.2802971280623474,2
0.3321,0.07325626253092635,2
0.19195,0.2714582932975156,2
-0.14645000000000002,0.29295433944558663,2
-0.6187,0.22853691167949217,2
0.625,0.07325626253092626,2
0.31065,0.04292138161802344,2
-0.46335,0.09468159800087872,2
0.1313,0.22853691167949217,2
0.6768,0.0,2
0.85355,0.10359114344382922,2
